Name,Address,Category,Notes
Lansing MI (Home),Lansing, MI,Start/End,Trip start and end point
Legoland NY,1 Legoland Blvd Goshen NY 10924,Theme Park,2-day visit recommended; on-site hotel available
Storm King Art Center,1 Museum Rd New Windsor NY 12553,Arts & Nature,500-acre outdoor sculpture park; all ages
Harriman State Park,Seven Lakes Dr Harriman NY 10926,Nature,Trails + swimming; Pine Meadow Lake hike
West Point,2107 New South Post Rd West Point NY 10996,History,Free tours + museum; Hudson River views
Electric City Trolley Museum,300 Cliff St Scranton PA 18503,Museum,Electric streetcar history; check weekday hours
Strong National Museum of Play,1 Manhattan Square Dr Rochester NY 14607,Museum,All-ages interactive museum; video game history
Niagara Falls,Niagara Falls NY 14303,Nature,Maid of the Mist + Cave of the Winds
Presque Isle State Park,301 Peninsula Dr Erie PA 16505,Nature,Free beach + kayaking; good driving break
Children's Museum of Pittsburgh,10 Childrens Way Pittsburgh PA 15212,Museum,Mister Rogers exhibit — verify exact venue before visiting
New York City,New York NY 10001,City,Central Park + museums + food; half or full day
Smithsonian National Mall,900 Jefferson Dr SW Washington DC 20560,Museum/History,Free admission; Natural History + Air & Space + more
Chesapeake Bay Crab,Annapolis MD 21401,Food,Blue crab season peaks in summer; Eastern Shore has best spots
Franklin Institute,271 N 21st St Philadelphia PA 19103,Museum,Flagship science museum; Giant Heart walk-through; all ages
Liberty Bell Center,526 Market St Philadelphia PA 19106,History,Free; Independence Mall anchor stop
Eastern State Penitentiary,2027 Fairmount Ave Philadelphia PA 19130,Museum,Former prison; Al Capone; best for Oscar (14)
Reading Terminal Market,51 N 12th St Philadelphia PA 19107,Food,Best public market in America; Philly cheesesteak + Amish vendors
Philadelphia Museum of Art,2600 Benjamin Franklin Pkwy Philadelphia PA 19130,Arts,Rocky Steps; under-19 free
Museum of Science,1 Science Park Boston MA 02114,Museum,700+ exhibits; planetarium; Omni IMAX
New England Aquarium,1 Central Wharf Boston MA 02110,Aquarium,Giant Ocean Tank; penguins; all ages
USS Constitution,Charlestown Navy Yard Boston MA 02129,History,Oldest commissioned warship afloat; free ship tour
Freedom Trail Start,139 Tremont St Boston MA 02111,History,2.5-mile self-guided walk; 16 Revolutionary War sites; free
Boston Harbor Islands Ferry,200 Atlantic Ave Boston MA 02110,Nature,Ferry to Spectacle + Georges Islands; beach + Civil War fort
Fenway Park,4 Jersey St Boston MA 02215,Sports,Guided tours of America's oldest ballpark
